timestamp,dataset,task,algorithm,target_col,split,n_train,n_test,accuracy,precision,recall,f1,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,mae,rmse,r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,silhouette_score,cv_silhouette_mean,cv_silhouette_std,n_clusters,notes
2026-08-01T15:27:29.015238,healthcare_dataset_stroke,classification,gradient_boosting,heart_disease,train=80%/test=20%,4088,1022,0.9462,0.923,0.9462,0.9219,0.9442,0.0016,0.9189,0.0008,,,,,,,,,,,,,,
2026-08-01T15:27:34.084281,neurofibromatosis,classification,logistic,Case Type,train=80%/test=20%,236,59,0.4746,0.4657,0.4746,0.4668,0.522,0.054,0.5189,0.055,,,,,,,,,,,,,,
2026-08-01T15:27:35.097513,neurofibromatosis,classification,decision_tree,Case Type,train=80%/test=20%,236,59,0.4915,0.5061,0.4915,0.4842,0.4712,0.0329,0.4533,0.0311,,,,,,,,,,,,,,
2026-08-01T15:27:37.173400,neurofibromatosis,classification,random_forest,Case Type,train=80%/test=20%,236,59,0.4915,0.4885,0.4915,0.4895,0.4746,0.0597,0.4722,0.0587,,,,,,,,,,,,,,
2026-08-01T15:27:38.517827,neurofibromatosis,classification,gradient_boosting,Case Type,train=80%/test=20%,236,59,0.5085,0.5012,0.5085,0.5012,0.4949,0.0507,0.4897,0.0521,,,,,,,,,,,,,,
2026-08-01T15:27:39.488242,neurofibromatosis,classification,logistic,Tumour Case,train=80%/test=20%,236,59,0.8305,0.862,0.8305,0.8375,0.8441,0.0392,0.85,0.0367,,,,,,,,,,,,,,
2026-08-01T15:27:40.458778,neurofibromatosis,classification,decision_tree,Tumour Case,train=80%/test=20%,236,59,0.8305,0.849,0.8305,0.8358,0.8576,0.0275,0.8635,0.0264,,,,,,,,,,,,,,
2026-08-01T15:27:42.791817,neurofibromatosis,classification,random_forest,Tumour Case,train=80%/test=20%,236,59,0.8305,0.862,0.8305,0.8375,0.8576,0.0254,0.8634,0.0242,,,,,,,,,,,,,,
2026-08-01T15:27:44.250138,neurofibromatosis,classification,gradient_boosting,Tumour Case,train=80%/test=20%,236,59,0.8475,0.8449,0.8475,0.8459,0.8949,0.0346,0.8936,0.0353,,,,,,,,,,,,,,
2026-08-01T15:27:49.659637,pgcb_hourly_generation,regression,naive,generation_mw,chronological_85%,,,,,,,,,,,731.6488,1059.7907,0.7725,,,,,,,,,,,
2026-08-01T15:27:51.253996,pgcb_hourly_generation,regression,linear_regression,generation_mw,chronological_85%,,,,,,,,,,,3341.5065,3920.7106,-2.1135,2790.214,1779.062,105739.9478,206732.8692,-0.5425,1.0797,,,,,
